monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20250413,20250420,345
0,0,0,0,0,0,1,20250413,20250421,1027
0,0,0,0,0,0,1,20250413,20250421,199
0,0,0,0,0,0,1,20250413,20250427,1201
0,0,0,0,0,0,1,20250413,20250427,1267
0,0,0,0,0,0,1,20250413,20250427,367
0,0,0,0,0,0,1,20250413,20250427,99
0,0,0,0,0,0,1,20250413,20250501,1041
0,0,0,0,0,0,1,20250413,20250504,378
0,0,0,0,0,0,1,20250413,20250510,323
0,0,0,0,0,0,1,20250413,20250511,247
0,0,0,0,0,0,1,20250413,20250511,490
0,0,0,0,0,0,1,20250413,20250511,673
0,0,0,0,0,0,1,20250413,20250511,678
0,0,0,0,0,0,1,20250413,20250511,848
0,0,0,0,0,0,1,20250418,20250501,1000
0,0,0,0,0,0,1,20250418,20250501,29
0,0,0,0,0,0,1,20250419,20250420,508
0,0,0,0,0,0,1,20250419,20250427,159
0,0,0,0,0,0,1,20250419,20250511,977
0,0,0,0,0,0,1,20250420,20250427,1199
0,0,0,0,0,0,1,20250420,20250501,115
0,0,0,0,0,0,1,20250426,20250504,255
0,0,0,0,0,0,1,20250426,20250511,1265
0,0,0,0,0,0,1,20250426,20250511,259
0,0,0,0,0,0,1,20250426,20250511,329
0,0,0,0,0,0,1,20250427,20250504,366
0,0,0,0,0,0,1,20250427,20250511,1209
0,0,0,0,0,0,1,20250427,20250511,665
0,0,0,0,0,0,1,20250501,20250511,458
0,0,0,0,0,0,1,20250502,20250511,491
0,0,0,0,0,0,1,20250503,20250511,1083
0,0,0,0,0,0,1,20250504,20250511,1046
0,0,0,0,0,0,1,20250504,20250511,1221
0,0,0,0,0,0,1,20250504,20250511,786
0,0,0,0,0,0,1,20250504,20250512,576
0,0,0,0,0,1,0,20250418,20250426,263
0,0,0,0,0,1,0,20250418,20250510,426
0,0,0,0,0,1,0,20250419,20250426,344
0,0,0,0,0,1,0,20250419,20250503,285
0,0,0,0,0,1,0,20250419,20250503,353
0,0,0,0,0,1,0,20250419,20250503,580
0,0,0,0,0,1,0,20250419,20250510,45
0,0,0,0,0,1,0,20250420,20250510,981
0,0,0,0,0,1,0,20250426,20250503,1092
0,0,0,0,0,1,0,20250426,20250504,899
0,0,0,0,0,1,0,20250426,20250510,1054
0,0,0,0,0,1,0,20250426,20250510,338
0,0,0,0,0,1,0,20250426,20250510,664
0,0,0,0,0,1,0,20250426,20250510,724
0,0,0,0,0,1,0,20250426,20250510,849
0,0,0,0,0,1,0,20250428,20250511,452
0,0,0,0,0,1,0,20250502,20250510,679
0,0,0,0,0,1,0,20250503,20250510,1050
0,0,0,0,0,1,0,20250503,20250510,1228
0,0,0,0,0,1,0,20250503,20250510,131
0,0,0,0,0,1,0,20250503,20250511,466
0,0,0,0,0,1,0,20250503,20250513,929
0,0,0,0,0,1,1,20250413,20250419,146
0,0,0,0,0,1,1,20250413,20250419,46
0,0,0,0,0,1,1,20250413,20250420,497
0,0,0,0,0,1,1,20250413,20250421,872
0,0,0,0,0,1,1,20250413,20250422,291
0,0,0,0,0,1,1,20250413,20250427,573
0,0,0,0,0,1,1,20250413,20250501,924
0,0,0,0,0,1,1,20250413,20250504,1042
0,0,0,0,0,1,1,20250413,20250504,1194
0,0,0,0,0,1,1,20250413,20250504,30
0,0,0,0,0,1,1,20250413,20250504,574
0,0,0,0,0,1,1,20250413,20250504,770
0,0,0,0,0,1,1,20250413,20250510,775
0,0,0,0,0,1,1,20250413,20250511,1036
0,0,0,0,0,1,1,20250413,20250511,236
0,0,0,0,0,1,1,20250413,20250511,41
0,0,0,0,0,1,1,20250413,20250511,470
0,0,0,0,0,1,1,20250413,20250511,5
0,0,0,0,0,1,1,20250413,20250511,815
0,0,0,0,0,1,1,20250413,20250511,95
0,0,0,0,0,1,1,20250414,20250422,1135
0,0,0,0,0,1,1,20250418,20250426,1247
0,0,0,0,0,1,1,20250418,20250426,1251
0,0,0,0,0,1,1,20250418,20250501,274
0,0,0,0,0,1,1,20250418,20250511,187
0,0,0,0,0,1,1,20250418,20250513,1146
0,0,0,0,0,1,1,20250419,20250420,56
0,0,0,0,0,1,1,20250419,20250426,227
0,0,0,0,0,1,1,20250419,20250427,912
0,0,0,0,0,1,1,20250419,20250501,1208
0,0,0,0,0,1,1,20250419,20250503,998
0,0,0,0,0,1,1,20250419,20250504,1226
0,0,0,0,0,1,1,20250419,20250504,439
0,0,0,0,0,1,1,20250419,20250511,432
0,0,0,0,0,1,1,20250419,20250511,731
0,0,0,0,0,1,1,20250419,20250511,816
0,0,0,0,0,1,1,20250419,20250512,352
0,0,0,0,0,1,1,20250420,20250426,571
0,0,0,0,0,1,1,20250420,20250504,1140
0,0,0,0,0,1,1,20250420,20250511,551
0,0,0,0,0,1,1,20250426,20250427,1079
0,0,0,0,0,1,1,20250426,20250503,59
0,0,0,0,0,1,1,20250426,20250504,1119
0,0,0,0,0,1,1,20250426,20250511,1061
0,0,0,0,0,1,1,20250426,20250511,1238
0,0,0,0,0,1,1,20250426,20250511,568
0,0,0,0,0,1,1,20250426,20250511,797
0,0,0,0,0,1,1,20250426,20250511,896
0,0,0,0,0,1,1,20250426,20250511,925
0,0,0,0,0,1,1,20250427,20250503,21
0,0,0,0,0,1,1,20250427,20250504,123
0,0,0,0,0,1,1,20250501,20250511,312
0,0,0,0,0,1,1,20250503,20250504,782
0,0,0,0,0,1,1,20250503,20250510,410
0,0,0,0,0,1,1,20250503,20250511,1258
0,0,0,0,0,1,1,20250503,20250513,662
0,0,0,0,0,1,1,20250504,20250511,1182
0,0,0,0,0,1,1,20250510,20250511,979
0,0,0,0,1,0,0,20250413,20250425,412
